movie_id,preference_key,movie_title,star_cast,rating,year,place,vote,link
1,1,Sueño de fuga,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",9.239903039,1994,1,,/title/tt0111161/
2,2,El padrino,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",9.160900164,1972,2,,/title/tt0068646/
3,3,Batman: El Caballero de la Noche,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",8.993127135,2008,3,,/title/tt0468569/
4,4,El padrino II,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",8.990125088,1974,4,,/title/tt0071562/
5,1,12 hombres en pugna,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",8.950496287,1957,5,,/title/tt0050083/
6,2,La lista de Schindler,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",8.939840728,1993,6,,/title/tt0108052/
7,3,El señor de los anillos: El retorno del rey,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",8.927133093,2003,7,,/title/tt0167260/
8,4,Tiempos violentos,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",8.859067093,1994,8,,/title/tt0110912/
9,1,El señor de los anillos: La comunidad del anillo,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.811330833,2001,9,,/title/tt0120737/
10,2," El bueno, el malo y el feo","Sergio Leone (dir.), Clint Eastwood, Eli Wallach",8.802546976,1966,10,,/title/tt0060196/
11,3,Forrest Gump,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",8.776386232,1994,11,,/title/tt0109830/
12,4,El club de la pelea,"David Fincher (dir.), Brad Pitt, Edward Norton",8.760115474,1999,12,,/title/tt0137523/
13,1,El origen,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",8.743839457,2010,13,,/title/tt1375666/
14,2,El señor de los anillos: Las dos torres,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.735410931,2002,14,,/title/tt0167261/
15,3,El imperio contraataca,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",8.709934146,1980,15,,/title/tt0080684/
16,4,Matrix,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",8.680534484,1999,16,,/title/tt0133093/
17,1,Buenos muchachos,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",8.658762759,1990,17,,/title/tt0099685/
18,2,Atrapado sin salida,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",8.649661621,1975,18,,/title/tt0073486/
19,3,"Seven, los siete pecados capitales","David Fincher (dir.), Morgan Freeman, Brad Pitt",8.611786868,1995,19,,/title/tt0114369/
20,4,Los siete samurais,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",8.604370904,1954,20,,/title/tt0047478/
21,1,¡Qué bello es vivir!,"Frank Capra (dir.), James Stewart, Donna Reed",8.603898184,1946,21,,/title/tt0038650/
22,2,El silencio de los inocentes,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",8.596314497,1991,22,,/title/tt0102926/
23,3,Rescatando al soldado Ryan,"Steven Spielberg (dir.), Tom Hanks, Matt Damon",8.585577878,1998,23,,/title/tt0120815/
24,4,Ciudad de Dios,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",8.585045438,2002,24,,/title/tt0317248/
25,1,La vida es bella,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",8.57217909,1997,25,,/title/tt0118799/
26,2,Milagros inesperados,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",8.567880591,1999,26,,/title/tt0120689/
27,3,La guerra de las galaxias,"George Lucas (dir.), Mark Hamill, Harrison Ford",8.564735877,1977,27,,/title/tt0076759/
28,4,Interestelar,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",8.562687919,2014,28,,/title/tt0816692/
29,1,Terminator 2: juicio final,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.544494327,1991,29,,/title/tt0103064/
30,2,Volver al futuro,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd",8.527161302,1985,30,,/title/tt0088763/
31,3,El viaje de Chihiro,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette",8.523451228,2001,31,,/title/tt0245429/
32,4,Psicosis,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh",8.515659604,1960,32,,/title/tt0054215/
33,1,El perfecto asesino,"Luc Besson (dir.), Jean Reno, Gary Oldman",8.512608605,1994,33,,/title/tt0110413/
34,2,El pianista,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann",8.511726118,2002,34,,/title/tt0253474/
35,3,Parásitos,"Bong Joon Ho (dir.), Kang-ho Song, Sun-kyun Lee",8.502376014,2019,35,,/title/tt6751668/
36,4,El rey león,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons",8.49861114,1994,36,,/title/tt0110357/
37,1,Gladiador,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix",8.494746715,2000,37,,/title/tt0172495/
38,2,Historia americana X,"Tony Kaye (dir.), Edward Norton, Edward Furlong",8.494032576,1998,38,,/title/tt0120586/
