place,movie_title,rating,year,star_cast
1,Sueño de fuga,9.233877416546012,1994,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman"
2,El padrino,9.155917210570877,1972,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"
3,Batman: El Caballero de la Noche,8.985540621844336,2008,"Christopher Nolan (dir.), Christian Bale, Heath Ledger"
4,El padrino II,8.984091005964276,1974,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro"
5,12 hombres en pugna,8.947607296087273,1957,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb"
6,La lista de Schindler,8.935287498894093,1993,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes"
7,El señor de los anillos: El retorno del rey,8.92115607650894,2003,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen"
8,Tiempos violentos,8.850694276613396,1994,"Quentin Tarantino (dir.), John Travolta, Uma Thurman"
9,El señor de los anillos: La comunidad del anillo,8.803651503440841,2001,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
1," El bueno, el malo y el feo",8.793653185184994,1966,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach"
11,Forrest Gump,8.767325087564474,1994,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright"
12,El club de la pelea,8.750010996907355,1999,"David Fincher (dir.), Brad Pitt, Edward Norton"
13,El origen,8.73292311653524,2010,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt"
14,El señor de los anillos: Las dos torres,8.727890879472046,2002,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
15,El imperio contraataca,8.701790653344345,1980,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford"
16,Matrix,8.671121717425676,1999,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne"
17,Buenos muchachos,8.651594980315696,1990,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta"
18,Atrapado sin salida,8.641188109709512,1975,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher"
19,"Seven, los siete pecados capitales",8.604020198590687,1995,"David Fincher (dir.), Morgan Freeman, Brad Pitt"
20,Los siete samurais,8.599022612714242,1954,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura"
21,¡Qué bello es vivir!,8.596974510358288,1946,"Frank Capra (dir.), James Stewart, Donna Reed"
